Trace name,ID,On time,Freq,Tags
2012_08_01_0005,1,1488.65,,bout start; spontaneous
2012_08_01_0005,2,1518,34.0716,
2012_08_01_0005,3,1552.5,28.9855,
2012_08_01_0005,4,1591.26,25.7998,
2012_08_01_0005,5,1633.37,23.7473,
2012_08_01_0005,6,1667.08,29.6648,
2012_08_01_0005,7,1704.54,26.6951,
2012_08_01_0005,8,1744.06,25.3036,
2012_08_01_0005,9,1793.31,20.3046,bout end
2012_08_01_0005,10,4239.18,0.4089,bout start; spontaneous
2012_08_01_0005,11,4268.84,33.7154,
2012_08_01_0005,12,4309.38,24.667,
2012_08_01_0005,13,4353.41,22.7118,bout end
2012_08_01_0005,14,8752.04,0.2273,bout start; shock
2012_08_01_0005,15,8776.85,40.3063,
2012_08_01_0005,16,8801.13,41.1862,
2012_08_01_0005,17,8817.58,60.7903,
2012_08_01_0005,18,8847.11,33.8639,
2012_08_01_0005,19,8890.84,22.8676,
2012_08_01_0005,20,8922.98,31.1139,